SMILES,predictions
c1ccc2c(N3CCNCC3)nsc2c1,C[N+]1([O-])CCNCC1 O=C1CNCCN1c1nsc2ccccc12 N=C(c1ccccc1S)N1CCNCC1 O=C(O)C1OC(ON2CCN(c3nsc4ccccc34)CC2)C(O)C(O)C1O O=C1CN(c2nsc3ccccc23)CCN1 Oc1cccc2snc(N3CCNCC3)c12
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,O=C(O)CONC(=O)c1ccc2cncn2c1Nc1ccc(I)cc1F O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)c(O)c1F O=C(NOCCO)c1ccc2cncn2c1Nc1ccccc1F O=CCONC(=O)c1ccc2cncn2c1Nc1ccc(I)cc1F O=C(NOCCO)c1cc(O)c2cncn2c1Nc1ccc(I)cc1F O=C(NOCCO[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc2cncn2c1Nc1ccc(I)cc1F
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)C(O)N=C(c2ccc(O)cc2)c2cc(Cl)ccc21 CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)c(O)cc21 CN1C(=O)C(O)N=C(c2cccc(O)c2)c2cc(Cl)ccc21 O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O CN1C(=O)C(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)N=C(c2ccccc2)c2cc(Cl)ccc21 CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
Clc1ccccc1CN1CCc2sccc2C1,O=C(O)c1ccccc1Cl Oc1cc2c(s1)CCN(Cc1ccccc1Cl)C2 OC1CN(Cc2ccccc2Cl)Cc2ccsc21 Clc1ccccc1CN1C=C2C=C[S+]=C2CC1 O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1=O Oc1ccc(Cl)c(CN2CCc3sccc3C2)c1
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2[C@H]1CC1=C3C(=O)C(=O)C=C1 CN1CCc2cccc3c2[C@H]1Cc1cccc(O)c1-3 CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1-3 CN1CCc2cccc3c2[C@H]1Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1-3 CN1CCc2cccc3c2[C@H]1Cc1ccc(O)cc1-3 Oc1ccc2c(c1O)-c1cccc3c1[C@H](C2)NCC3
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1OC(C(=O)O)C(O)C(O)C1O O=C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O O=C1C(O)N=C(c2ccccc2)c2cc(Cl)ccc2N1O O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O O=C1Nc2ccc(Cl)cc2C(c2cccc(O)c2)=NC1O
COc1ccc2ccc(=O)oc2c1CC=C(C)C,COc1ccc2ccc(=O)oc2c1C/C=C(\C)CO COc1ccc2ccc(=O)oc2c1CC1OC1(C)C COc1cc(O)c2ccc(=O)oc2c1CC=C(C)C CC(C)=CCc1c(O)ccc2ccc(=O)oc12 COc1c(O)cc2ccc(=O)oc2c1CC=C(C)C COc1ccc2cc(O)c(=O)oc2c1CC=C(C)C
Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COC5OC(C(=O)O)C(O)C(O)C5O)OC4=O)cc3F)cn2)n1 O=C1O[C@@H](CO)CN1c1ccc(-c2ccc(-c3nn[nH]n3)nc2)c(F)c1 Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](C(=O)O)OC4=O)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](C=S(=O)(O)O)OC4=O)cc3F)cn2)n1 Cn1nnc(-c2ccc(-c3ccc(NCC(=O)O)cc3F)cn2)n1
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2ccc[n+]([O-])c2)c1 O=S(=O)(c1cccnc1)n1cc(CNCO)cc1-c1ccccc1F CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1O N=Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1 O=Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1 NCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(C[N+](C)(C)[O-])c12 CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CCOC(=O)c1c(C)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CN(C)Cc1c(O)c(Br)cc2c1c(C(=O)O)c(CSc1ccccc1)n2C CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CCOC(=O)c1c(CSc2ccc(O)cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1Oc2ccccc2C1C(=O)c1ccc(O)c(Br)c1 CCC(O)C(C(=O)c1cc(Br)c(O)c(Br)c1)c1ccccc1O CCC1Oc2ccc(O)cc2C1C(=O)c1cc(Br)c(O)c(Br)c1 CCC1Oc2ccccc2C1(O)C(=O)c1cc(Br)c(O)c(Br)c1 Oc1cc(Br)c(O)c(Br)c1 CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(OC2OC(C(=O)O)C(O)C(O)C2O)c(Br)c1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(OS(=O)(=O)O)cc3)C(=O)N2[C@H]1C(=O)O CC1(CO)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)c(O)c3)C(=O)N2[C@H]1C(=O)O CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O
CN[C@@H](C)[C@H](O)c1ccccc1,C[C@@H]([C@@H](O)c1ccccc1)N(C)O CN[C@@H](C)[C@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1 C[C@@H]([C@H](O)c1ccccc1)N(C)O CN[C@@H](C)C(=O)c1ccccc1 CN[C@@H](C)Cc1ccccc1 CN[C@@H](C)[C@H](O)c1ccc(O)cc1
CC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,CC(=O)OC[C@@H](N)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl CC(=O)OC[C@H]1NC(=O)C(Cl)O[C@@H]1c1ccc([N+](=O)[O-])cc1 O=C(N[C@H](CO)[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl CC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1 CC(=O)O[C@H](c1ccc([N+](=O)[O-])cc1)[C@@H](CO)NC(=O)C(Cl)Cl
O=P1(NCCCl)OCCC(O)N1CCCl,O=P(O)(O)OC1CCOP(=O)(NCCCl)N1CCCl O=P1(NCCCl)OCC=CN1CCCl O=P1(NCCCl)NC(O)CCO1 O=C1CCOP(=O)(NCCCl)N1CCCl O=P1(NCCCl)OCCC(O)N1CCO NP1(=O)OCCC(O)N1CCCl
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(=O)(=O)O C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2OS(=O)(=O)O C[C@@]12CCC[C@H]1[C@@H]1CCc3cc(O)ccc3[C@H]1CC2
CNC[C@H](O)c1cccc(O)c1,CNC[C@H](O)c1cccc(OS(=O)(=O)O)c1 O=C[C@H](O)c1cccc(O)c1 O=CC(O)c1cccc(O)c1 CNC[C@H](O)c1cccc(O)c1O CNC[C@H](O)c1ccc(O)c(O)c1 NC[C@H](O)c1cccc(O)c1
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1 O=Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)C(=O)O)cc1 O=Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1 N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=C(CCl)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=C(N[C@H](COP(=O)(O)O)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,C[C@H](N)C(=O)c1cccc(Cl)c1 O=C(O)c1cccc(Cl)c1 C[C@H](NC(C)(C)C)[C@H](O)c1cccc(Cl)c1 C[C@H](NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1 C[C@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1 C[C@H](NC(C)(C)C)C(=O)c1cc(Cl)ccc1O
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,C=CCC1(CC(C)C)C(=O)NC(=O)NC1O C=CCC1(CC(C)C)C(=O)NC(=O)N(O)C1=O C=CCC1(CC(C)(C)O)C(=O)NC(=O)NC1=O C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O C=CCC(CC(C)C)(C(=O)O)C(=O)NC(N)=O
C[C@H](N[P@@](=O)([O-])OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(=O)[O-],N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/OC5OC(C(=O)O)C(O)C(O)C5O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=N)CC[C@@H]4[C@H]3CC[C@@]21CC C#C[C@]1(O)CC[C@H]2[C@@H]3C[C@@H](O)C4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC
CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)[O-])c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CCOC(=O)c1c(C)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CCOC(=O)c1c(CSc2ccccc2)[nH]c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CNC)c12 CN(C)Cc1c(OS(=O)(=O)O)c(Br)cc2c1c(C(=O)O)c(CS(=O)(=O)c1ccccc1)n2C
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,CC(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)c1ccc(CC2CCCC2=O)cc1 CC(C(=O)O)c1ccc(CC2CCC(O)C2=O)cc1 CC(O)(C(=O)O)c1ccc(CC2CCCC2=O)cc1 CC(C(=O)O)c1ccc(CC2CC(O)CC2=O)cc1 CC(C(=O)O)c1ccc(CC2CCCOC2=O)cc1 CC(C(=O)O)c1ccc(CC2CCCC2O)cc1
COc1ccc2c3c1O[C@H]1CC(=O)C=C[C@@]31CCN(C)C2,COc1ccc2c3c1O[C@H]1CC(=O)CC[C@@]31CCN(C)C2 COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2 COc1cc(O)c2c3c1O[C@H]1CC(=O)C=C[C@@]31CCN(C)C2 CN1CC[C@@]23C=CC(=O)C[C@@H]2Oc2c(O)ccc(c23)C1 CN1CC[C@]23C=CC(=O)C[C@@H]2Oc2c(O)ccc(c23)C1 COc1ccc2c3c1O[C@H]1CC(=O)C=C[C@@]31CC[N+](C)([O-])C2
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc12 O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2c(O)c(O)ccc12 O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)sc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc12 O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)sc2cc(O)ccc12 O=C(c1ccc(OCC[N+]2([O-])CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12 O=C(O)CCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCC(O)NC1=O,Cc1cccc(CO)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCC(O)NC1=O Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCC(O)NC1=O Cc1cc(O)cc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCC(O)NC1=O Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCC(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)NC1=O Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCC(=O)NC1=O Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCC(O)N(O)C1=O
N#Cc1ccc(C(=O)c2ccc(C#N)cc2)cc1,N#Cc1ccc(C(=O)c2ccc(C=O)cc2)cc1 N#Cc1ccc(C(=O)O)cc1 N#Cc1ccc(C(=O)c2ccc(C#N)c(O)c2)cc1 N#Cc1ccc(C(=O)c2ccc(C#N)cc2O)cc1 N#Cc1ccc(C(O)c2ccc(C#N)cc2)cc1 N#Cc1ccc(C(=O)c2ccc(C(=N)N)cc2)cc1
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,CC1(C)O[C@@H]2CO[C@]3(COS(=O)(=O)NC4OC(C(=O)O)C(O)C(O)C4O)OC(C)(C)O[C@H]3[C@@H]2O1 CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(CO)O[C@H]3[C@@H]2O1 CC1(C)O[C@@H]2[C@@H](O)O[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1 CC1(C)O[C@@H]2CO[C@@]3(COS(=O)(=O)NC4OC(C(=O)O)C(O)C(O)C4O)OC(C)(C)O[C@H]3[C@@H]2O1 CC1(C)O[C@@H]2CO[C@@]3(CO)OC(C)(C)O[C@H]3[C@@H]2O1
Clc1ccc(CCCOCCCN2CCCCC2)cc1,O=C(O)CCc1ccc(Cl)cc1 OC1CCCN(CCCOCCCc2ccc(Cl)cc2)C1 OC(CCOCCCN1CCCCC1)c1ccc(Cl)cc1 [O-][N+]1(CCCOCCCc2ccc(Cl)cc2)CCCCC1 O=CCCCCNCCCOCCCc1ccc(Cl)cc1 OC1CCN(CCCOCCCc2ccc(Cl)cc2)CC1
O=P1(NCCCl)OCCCN1CCCl,O=P1(NCCCl)OCCCN1CCO NP1(=O)OCCCN1CCCl O=P1(NCCCl)OCCC[N+]1([O-])CCCl O=P1(NCCO)OCCCN1CCCl O=P1(NCCCl)OCCC(O)N1CCCl
O=C(O)C(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)C(=O)O)cc1 N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=C(O)C(=O)N[C@H](CO)Cc1ccc([N+](=O)[O-])cc1 O=C(O)C(=O)O O=C(O)C(=O)N[C@H](COP(=O)(O)O)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=CN[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1
C[C@@]12CCC3c4ccc(O)c(O)c4CCC3C1CCC2=O,C[C@@]12CCC3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c(O)c4CCC3C1CCC2=O C[C@@]12CCC3c4ccc(O)c(O)c4CCC3C1[C@@H](O)CC2=O C[C@@]12CCC3c4ccc(O)c(O)c4CCC3C1C[C@@H](O)C2=O C[C@@]12CCC3c4ccc(O)c(O)c4CCC3C1CC[C@@H]2O C[C@@]12CCC3c4ccc(O)c(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c4CCC3C1CCC2=O C[C@@]12CCC3c4cc(O)c(O)c(O)c4CCC3C1CCC2=O
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1 O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O O=C1CN=C(c2cccc(O)c2)c2cc(Cl)ccc2N1 O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1 O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1
CS(=O)(=O)c1ccc([C@H](CO)[C@H](C(=O)O)c2ccccc2)cc1,CS(=O)(=O)c1ccc([C@H](COP(=O)(O)O)[C@H](C(=O)O)c2ccccc2)cc1 CS(=O)(=O)c1ccc([C@H](CO)[C@H](C(=O)O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c2ccccc2)cc1 CS(=O)(=O)c1ccc([C@H](CO)[C@H](CO)c2ccccc2)cc1 CS(=O)(=O)c1ccc([C@@H]2COC(=O)[C@@H]2c2ccccc2)cc1 CS(=O)(=O)c1ccc([C@@H](C(=O)O)[C@H](C(=O)O)c2ccccc2)cc1 CS(=O)(=O)c1ccc([C@H](CO)[C@H](C(=O)NCC(=O)O)c2ccccc2)cc1
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,O=C(NCO)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1 NC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1 O=C(O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1 CNC(=O)c1ccccc1S(=O)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1 CNC(=O)c1ccc(O)cc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1 CNC(=O)c1cc(O)ccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1
